machine,vtg,crt,gas,res,date,lot,label
TM-PE NO.1 R5,20,164,23.8,0.12195122,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,20,164,23.8,0.12195122,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,20,166.3,22.5,0.120264582,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,19,167.3,22.2,0.11356844,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,20,154.3,22,0.129617628,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,18,166.3,21.2,0.108238124,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,18,166.3,21.2,0.108238124,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,18,166.3,21.2,0.108238124,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,22,161.6,21.2,0.136138614,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,22,160,21.2,0.1375,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,22,162.3,21.2,0.135551448,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,162.6,21.2,0.141451415,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,163.6,21.2,0.140586797,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,159.6,21.2,0.144110276,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,163.3,21.2,0.14084507,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,161,21.2,0.142857143,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,161.6,21.2,0.142326733,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,23,168.6,21.2,0.136417556,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,22,170,21.2,0.129411765,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,21,172.6,21.2,0.121668598,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,21,162,21.2,0.12962963,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R5,22,165.6,21.2,0.132850242,2023-10-17 14:36,SJQA143 2,
TM-PE NO.1 R6,73,156,33.5,0.467948718,2023-10-17 14:34,SJQA143 2,
TM-PE NO.1 R6,73,156,33.5,0.467948718,2023-10-17 14:34,SJQA143 2,
TM-PE NO.1 R6,15,155.3,32.6,0.09658725,2023-10-17 14:34,SJQA143 2,
TM-PE NO.1 R6,16,156.6,30.3,0.102171137,2023-10-17 14:34,SJQA143 2,
TM-PE NO.1 R6,17,156.6,28.1,0.108556833,2023-10-17 14:34,SJQA143 2,
TM-PE NO.1 R6,17,157.3,26.2,0.108073744,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,18,159.3,24.5,0.11299435,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,18,159.6,23.1,0.112781955,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,19,158.3,22,0.120025268,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,19,155.3,21.1,0.122343851,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,19,156.3,20.5,0.1215611,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,20,158.3,20.1,0.126342388,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,20,158.3,20.1,0.126342388,2023-10-17 14:35,SJQA143 2,
TM-PE NO.1 R6,20,158.3,20.1,0.126342388,2023-10-17 14:35,SJQA143 2,
