id,machine,label,jig,vtg,crt,gas,,,starttime,,
248983395,TM-PE NO.1 R1,0,1,13.7,173.3,0,0,0,2023-05-03-8:04:51.143,,
248983401,TM-PE NO.1 R1,0,1,13.7,173.3,0,0,0,2023-05-03-8:04:51.667,,
248983410,TM-PE NO.1 R1,0,1,13.7,173.3,0,0,0,2023-05-03-8:04:52.197,1,
248983422,TM-PE NO.1 R1,0,1,13.1,177.5,0,0,0,2023-05-03-8:04:52.737,,
248983433,TM-PE NO.1 R1,0,1,13.1,175.8,0,0,0,2023-05-03-8:04:53.267,,
248983447,TM-PE NO.1 R1,0,1,13.1,175.8,0,0,0,2023-05-03-8:04:53.807,,
248983463,TM-PE NO.1 R1,0,1,13.1,175.8,0,0,0,2023-05-03-8:04:54.360,,
248983474,TM-PE NO.1 R1,0,1,13.2,173.7,0,0,0,2023-05-03-8:04:54.893,,
248984107,TM-PE NO.1 R1,0,1,15.2,168.3,0,0,0,2023-05-03-8:05:41.853,,
248984116,TM-PE NO.1 R1,0,1,15.2,168.3,0,0,0,2023-05-03-8:05:42.400,,
248984128,TM-PE NO.1 R1,0,1,15.2,168.3,0,0,0,2023-05-03-8:05:42.977,,
248984140,TM-PE NO.1 R1,0,1,13.1,177.9,0,0,0,2023-05-03-8:05:43.523,2,
248984154,TM-PE NO.1 R1,0,1,13.1,174.5,0,0,0,2023-05-03-8:05:44.103,,
248984163,TM-PE NO.1 R1,0,1,13.6,175,0,0,0,2023-05-03-8:05:44.643,,
248984172,TM-PE NO.1 R1,0,1,13.6,175,0,0,0,2023-05-03-8:05:45.180,,
248984181,TM-PE NO.1 R1,0,1,13.6,175,0,0,0,2023-05-03-8:05:45.727,,
248985169,TM-PE NO.1 R1,1,1,13.6,175.4,0,0,0,2023-05-03-8:06:30.690,,
248985184,TM-PE NO.1 R1,1,1,13.6,175.4,0,0,0,2023-05-03-8:06:31.257,,
248985198,TM-PE NO.1 R1,1,1,13.1,175,0,0,0,2023-05-03-8:06:31.840,3,
248985218,TM-PE NO.1 R1,1,1,13,175.8,0,0,0,2023-05-03-8:06:32.423,,
248985236,TM-PE NO.1 R1,1,1,13.1,175.8,0,0,0,2023-05-03-8:06:32.990,,
248985268,TM-PE NO.1 R1,1,1,13.1,174.1,0,0,0,2023-05-03-8:06:34.063,,
248986125,TM-PE NO.1 R1,1,1,13.2,173.3,0,0,0,2023-05-03-8:07:23.650,,
248986140,TM-PE NO.1 R1,1,1,13.1,174.5,0,0,0,2023-05-03-8:07:24.210,,
248986157,TM-PE NO.1 R1,1,1,13.1,173.7,0,0,0,2023-05-03-8:07:24.753,,
248986176,TM-PE NO.1 R1,1,1,13.4,173.7,0,0,0,2023-05-03-8:07:25.283,,
248986189,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:07:25.830,4,
248986203,TM-PE NO.1 R1,1,1,13.2,175,0,0,0,2023-05-03-8:07:26.360,,
248986221,TM-PE NO.1 R1,1,1,13.4,130.8,0,0,0,2023-05-03-8:07:26.890,,
248986236,TM-PE NO.1 R1,1,1,13.4,130.8,0,0,0,2023-05-03-8:07:27.437,,
248986253,TM-PE NO.1 R1,1,1,13.4,130.8,0,0,0,2023-05-03-8:07:27.997,,
248987409,TM-PE NO.1 R1,1,1,13.2,173.3,0,0,0,2023-05-03-8:08:21.630,,
248987418,TM-PE NO.1 R1,1,1,13.1,174.5,0,0,0,2023-05-03-8:08:22.170,,
248987428,TM-PE NO.1 R1,1,1,13.3,172.9,0,0,0,2023-05-03-8:08:22.700,,
248987440,TM-PE NO.1 R1,1,1,13.3,173.3,0,0,0,2023-05-03-8:08:23.257,5,
248987451,TM-PE NO.1 R1,1,1,13.5,175.4,0,0,0,2023-05-03-8:08:23.793,,
248987459,TM-PE NO.1 R1,1,1,13.1,175.4,0,0,0,2023-05-03-8:08:24.330,,
248987468,TM-PE NO.1 R1,1,1,13.2,155,0,0,0,2023-05-03-8:08:24.877,,
248988256,TM-PE NO.1 R1,1,1,13.6,172.5,0,0,0,2023-05-03-8:09:18.680,,
248988271,TM-PE NO.1 R1,1,1,13.6,172.5,0,0,0,2023-05-03-8:09:19.213,,
