label,vtg,crt,gas
1,20,195.3,27.7
1,20,195.3,27.7
1,20,195.3,27.7
1,20,195.3,27.7
1,21,183.6,25.2
1,21,184.3,24.5
1,21,181.3,23.8
1,21,182.6,23.3
1,21,182.6,22.9
1,21,185,22.6
1,21,182.6,22.4
1,21,185.3,22.2
1,21,181,22
1,21,182.6,21.9
1,21,186.3,21.8
1,21,184,21.8
1,21,180,21.7
1,21,186.3,21.7
1,21,186.3,21.7
1,21,186.3,21.7
1,20,193.3,21.7
1,20,188,21.7
1,20,191.3,21.7
1,20,174,21.6
1,21,182,21.6
1,21,181.6,21.6
1,22,187.3,21.6
1,19,184.3,21.7
1,19,184.3,21.7
1,20,198.6,21.6
1,19,188,21.6
1,19,188,21.6
1,19,188,21.6
1,20,181.3,21.6
1,20,183,21.6
1,17,181.6,21.6
1,20,179.3,21.6
1,20,187,21.6
1,20,183.6,21.6
1,20,186,21.6
1,20,184.6,21.6
1,20,184,21.6
1,20,183.3,21.6
1,20,180,21.6
1,20,187,21.6
1,20,183.3,21.5
1,20,186,21.6
1,20,186,21.6
1,20,186,21.6
1,20,188,21.5
1,20,189.3,21.5
1,20,186.3,21.5
1,20,186,21.5
1,20,193,21.5
1,19,193.6,21.5
1,19,187.3,21.5
1,19,185,21.5
1,19,188,21.5
1,19,182,21.5
1,20,184.3,21.5
1,20,184.6,21.5
1,20,183.3,21.5
1,20,183.6,21.5
1,20,183.6,21.5
1,20,183.6,21.5
1,19,198,21.5
0,22,185.6,28.2
0,22,185.6,28.2
0,20,176.3,28.6
0,21,180.3,27.5
0,21,180.3,27.5
0,21,180.3,27.5
0,21,181,24.6
0,21,181.3,23.9
0,21,186.3,23.3
0,20,179.3,22.9
0,21,182,22.6
0,21,183.6,22.2
0,21,175,22
0,22,180,21.9
0,22,176.3,21.8
0,22,182.6,21.7
0,22,181.3,21.6
0,18,178.6,21.5
0,22,178.6,21.5
0,22,182.6,21.5
0,22,182.6,21.5
0,22,182.6,21.5
0,20,188,21.4
0,20,186.3,21.4
0,20,183.3,21.4
0,20,180,21.4
0,20,176.3,21.4
0,21,178.6,21.4
0,20,194.3,21.4
0,20,194.3,21.4
0,20,232.6,21.4
0,19,197.6,21.4
0,19,186.3,21.4
0,19,186.3,21.4
0,19,186.3,21.4
0,20,183.6,21.4
0,20,186.3,21.4
0,20,189.6,21.4
0,20,187.6,21.4
0,20,190.6,21.4
0,16,188,21.5
0,20,185.3,21.5
0,20,183,21.5
0,20,184.6,21.5
0,20,185.3,21.5
0,20,182.3,21.5
0,20,190.6,21.5
0,16,187.6,21.5
0,20,186.6,21.5
0,20,186.6,21.5
0,20,186.6,21.5
0,20,187.6,21.5
0,20,188,21.5
0,20,189.6,21.5
0,20,189.3,21.5
0,20,185.3,21.5
0,20,187.3,21.5
0,20,184.6,21.5
0,20,190.6,21.5
0,20,186,21.5
0,20,186.6,21.5
0,16,189.6,21.5
0,20,193.6,21.5
0,20,187.6,21.5
0,20,196.3,21.5
0,20,196.3,21.5
0,20,196.3,21.5
0,20,198.6,21.5
0,15,189,21.5
0,19,205,21.5
0,19,215.6,21.5
0,19,195.3,27.9
0,19,195.3,27.9
0,19,180,28.6
0,19,182,27.6
0,17,184.6,26.5
0,19,183,25.5
0,19,181.6,24.7
0,19,182,23.9
0,19,186,23.4
0,19,186,22.9
0,19,184,22.6
0,18,184,22.3
0,18,183.6,22.1
0,18,183.3,21.9
0,18,183.3,21.9
0,18,183.3,21.9
0,18,186.3,21.6
0,18,182.6,21.5
0,18,184.6,21.5
0,18,185,21.5
0,18,193.6,21.4
0,18,192,21.4
0,18,189.3,21.4
0,18,182.6,21.4
0,18,188,21.4
0,18,180,21.4
0,18,176.6,21.4
0,19,149.6,21.4
0,18,185.3,21.4
0,18,185.3,21.4
0,18,195,21.3
0,18,181.3,21.3
0,18,185.3,21.3
0,18,184,21.3
0,18,184.6,21.3
0,19,182,21.3
0,19,185,21.3
0,19,183,21.3
0,19,182,21.3
0,19,186,21.3
0,19,185.3,21.3
0,19,186.3,21.3
0,19,186.3,21.3
0,19,186.3,21.3
0,19,193,21.3
0,18,190.3,21.3
0,18,195,21.3
0,18,193.3,21.3
0,18,199,21.3
0,18,189.6,21.3
0,18,191,21.3
0,18,199,21.3
0,18,189.3,21.3
0,18,195.6,21.3
0,17,189.3,21.3
0,17,183,21.3
0,18,185.6,21.3
0,18,182.3,21.3
0,18,182.3,21.3
0,18,182.3,21.3
0,18,186,21.3
0,18,183.3,21.3
0,18,183.6,21.3
0,19,187,21.3
0,19,192.6,21.3
0,14,192.3,28.4
0,14,192.3,28.4
0,14,179.3,28.3
0,14,181.6,27.2
0,14,179.3,26.1
